codigo,descricao
4.09.00000000131,PENDENTE DE LUZ C GARRA 5MTS
4.09.00000000136,MACHO AR SERT MF 14-1,5 2P
4.09.00000000166,LAVADORA DE ALTA PRESS«O µGUA QUENTE HDS 12/15 CAGE NEW/KARCHER
4.09.00000000172,ESCADA TREPADEIRA TR350
4.09.00000000173,PA ( ENTULHO )
4.09.00000000174,LANTERNA DE CABEÄA DE LED ECO LUX ECO 162
4.09.00000000175,CABO PARA ENXERTO DE BATERIA
4.09.00000000176,BOMBA EMULSIONADORA DE SHAMPOO COM RESERVAT‡RIO/ESPU MAX
4.09.00000000177,ASPIRADOR DE P‡ E µGUA PROFISSIONAL 1300W GT3000 220V - ELECTROLUX
4.09.00000000178,LAVADORA INDUSTRIAL LAVA JATO M‡VEL 3HP TRIFµSICA 220V COM MANGUEIRA 3/8 POL. LJ 3100 - CHIAPERINI-19713
4.09.00000000179,ESQUADRO MAGNêTICO 10 - 12KG
4.09.00000000180,POLITRIZ 1300W - DE 7 POL. COM MALETA - BLACKDECKER-WP1500K
4.09.00000000181,DESINCRUSTADOR DE AGULHAS TIPO PISTOLA HD 19 AGULHAS - SFP 32 
4.09.00000000182,DESINCRUSTADOR DE AGULHAS PNEUMµTICO DEP 800 PLUS
4.09.00000000189,CHAVE IMPACTO PNEUMATICA 1 PRO-189 PDR CURTO 345 KGFM 
4.09.00000000190,PENDENTE LUZ 12V - 10MT
"4.09.00000000191,SOQUETE SEXTAVADO DE 1/2"" DE 1"" - REF. GEDORE 19 - 1"""
4.09.00000000192,SOPRADOR DE WALT 220V D26411
4.09.00000000224,TESTE PRESSAO RADIADOR 0A30PSI CMR/CJ CRIS
4.09.00000000225,TORQIMETRO TQ 016 MARCA SATA 96401
4.09.00000000229,ARMARIO AM 71 C/4 BAND PORTA ACO MARCON REF: AM71 229
"4.09.00000000230,SOQUETE SEXTAVADO 3/4"" X 48MM"
4.09.00000000231,MANOMETRO ESCALA 0-20,0 BAR DN 1/4 BSP/NPT
4.09.00000000232,CHAVE DE RETIRADA DE TAMPA DE CILINDRO - 50 A 70 VX
4.09.00000000233,CHAVE DE RETIRADA DE TAMPA DE CILINDRO - 155VX 
4.09.00000000234,MAN‚METRO MEDIDOR GLP GN CHEIO VAZIO 1/8 NPT 150 PSI X 10 KG
4.09.00000000235,FERRAMENTA PARA RETIRADA DE BUCHA DA TORRE - 40-70VX E MX
4.09.00000000250,LAVADORA ALTA PRESS«O ELECTROLUX
4.09.00000000341,PRENSA HIDRAULICA 15 TON.
4.09.00000000342,BOMBA DE TRANSFERENCIA ALAVANCA P/ TAMBOR 200L MOD. 7022T BOZZA
4.09.00000000343,CHAVE L TIPO TORX COM GUIA TS10 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000344,CHAVE L TIPO TORX COM GUIA TS15 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000345,CHAVE L TIPO TORX COM GUIA TS20 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000346,CHAVE L TIPO TORX COM GUIA TS25 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000347,CHAVE L TIPO TORX COM GUIA TS27 (SUBSTITUIDO PELO COD.4.09.00000794520)
4.09.00000000348,CHAVE L TIPO TORX COM GUIA TS30 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000349,CHAVE L TIPO TORX COM GUIA TS40 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000350,CHAVE L TIPO TORX COM GUIA TS45 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000351,CHAVE L TIPO TORX COM GUIA TS50 (SUBSTITUIDO PELO COD. 4.09.00000794520)
4.09.00000000352,MEDIDOR DE PRESS«O DE PNEUS MS 27-C
4.09.00000000353,CAVALETE PARA VE÷CULOS REFORÄADO 2T 10 POSIÄÂES
4.09.00000000354,CAVALETE MEC∂NICO COM CAPACIDADE PARA 3 TONELADAS 
4.09.00000000355,CAVALETE MEC∂NICO 4 TONELADAS REFORÄADO 
4.09.00000000356,CAVALETE MEC∂NICO PARA 7 TONELADAS (PAR) - CT-7000
4.09.00000000357,JOGO CHAVE BOCA FIXA 06 A 32MM
"4.09.00000000358,CHAVE BOCA AJUSTAVEL 15"""
"4.09.00000000359,ALICATE ANEL BICO EXTERNO CURVO 7""  19-60MM"
"4.09.00000000360,ALICATE ANEL BICO EXTERNO RETO7""  19-60MM"
"4.09.00000000361,ALICATE ANEL BICO INTERNO CURVO 7""  19-60MM"
4.09.00000000362,PARAFUSADEIRA 18V50
4.09.00000000363,FERRO SOLDA  320W127V
"4.09.00000000364,CHAVE INGLESA AJUSTAVEL  24"""
4.09.00000000365,JOGO SOQUETE ENCAIXE 1/2 ESTRIADO 8 X 32MM 22 PEÄAS
"4.09.00000000366,CHAVE INGLESA  191-24"""
4.09.00000000367,INVERSOR 300A - 220V
4.09.00000000368,CALIBRADOR RETO 14-150
4.09.00000000369,JG CH COMB C/CATR 08-24MM 16PC 9416BJ
4.09.00000000370,LANTERNA P/CABECA LED SLP-10 SOLVER
"4.09.00000000371,CHAVE INGLESA 08"" 213008"
4.09.00000000372,MAQUINA DE APLICAR PRODUTO QUIMICO - TRUCK AGRO 220V MONOFASICA
4.09.00000000373,ESCADA PLATAFORMA 2000X3400X800MM 10 DEGRAUS
