codigo,descricao
4.09.000026610,Alicate Bico Reto e Longo com Isolamento
"4.09.000029125 ,Alicate Bomba D' gua 10"" "
4.09.000029487 ,Alicate de Corte Diagonal 6.1/4'' 
4.09.000029205 ,Alicate Para An‚is Externos - Pontas Fixas - Pontas Curvas 90ø 3 … 10mm 
4.09.000029220 ,Alicate Para An‚is Externos - Pontas Fixas - Pontas Curvas 90ø 10 … 25mm 
4.09.000029200 ,Alicate Para An‚is Externos - Pontas Fixas - Pontas Retas 3 … 10mm 
4.09.000029210 ,Alicate Para An‚is Externos - Pontas Fixas - Pontas Retas 10 … 25mm 
4.09.000029240 ,Alicate Para An‚is Internos - Pontas Fixas - Pontas Curvas 90ø 10 … 25mm 
4.09.000029230 ,Alicate Para An‚is Internos - Pontas Fixas - Pontas Retas 10 … 25mm 
4.09.000029010 ,Alicate PressÆo 10'' 
4.09.000029400 ,Alicate Universal 8'' 
4.09.000001007 ,Caixa de Ferramentas Sanfonada com 5 Gavetas 
4.09.000002553 ,Chave Combinada 3/8'' 
4.09.000002562 ,Chave Combinada 7/8'' 
4.09.000002563 ,Chave Combinada 15/16'' 
4.09.000002564 ,Chave Combinada 1'' 
4.09.000002566 ,Chave Combinada 1.1/8'' 
4.09.000002572 ,Chave Combinada 1.1/2'' 
4.09.000003553 ,Chave Estrela (Estria) 1/2 x 9/16'' 
4.09.000003502 ,Chave Estrela (Estria) 8 x 9 mm 
4.09.000003504 ,Chave Estrela (Estria) 12 x 13 mm 
4.09.000003505 ,Chave Estrela (Estria) 14 x 15 mm 
4.09.000003506 ,Chave Estrela (Estria) 16 x 17 mm 
4.09.000036320 ,Chave Fenda Cruzada Phillips 1/4 x 6'' 
4.09.000036310 ,Chave Fenda Cruzada Phillips 3/16 x 4'' 
4.09.000036330 ,Chave Fenda Cruzada Phillips 5/16 x 6'' 
"4.09.000036410 ,Chave Fenda Cruzada Phillips Tipo Toco 3/16 X 1.1/2"" "
4.09.000036130 ,Chave Fenda Simples 1/4 x 10'' 
4.09.000036100 ,Chave Fenda Simples 1/4 x 5'' 
4.09.000036030 ,Chave Fenda Simples 1/8 x 5'' 
"4.09.000036070 ,Chave Fenda Simples 3/16 x 5"" "
4.09.000036250 ,Chave Fenda Simples Tipo Cotoco 
4.09.000004551 ,Chave Fixa (Boca) 1/4 x 5/16'' 
4.09.000004505 ,Chave Fixa (Boca) 12 x 13 mm 
4.09.000004559 ,Chave Fixa (Boca) 13/16 x 7/8'' 
4.09.000004509 ,Chave Fixa (Boca) 16 x 17 mm 
4.09.000004552 ,Chave Fixa (Boca) 3/8 x 7/16'' 
"4.09.000025053 ,Chave Biela 9/16 X 9/16"" "
"4.09.000025051 ,Chave Biela 7/16 X 7/16"" "
"4.09.000025050 ,Chave Biela 3/4 X ó"" "
"4.09.000006052 ,Chave Starter (MEIA-LUA) 9/16 X 5/8"" "
"4.09.000006051 ,Chave Starter (MEIA-LUA) 7/16 X 1/2"" "
4.09.000000057 ,Mult¡metro Digital
4.09.986450778 ,Dens¡metro p/ Bateria
4.09.00D19TPZ ,Jogo Soquete Allen «. 3.16?? ? 5/8?? 
4.09.000206340 ,Esp tula de A‡o Cabo de Madeira - 80 mm
4.09.000000439 ,Jogo Pun‡Æo Num‚rico 1 a 9 - 5mm 
4.09.000050145 ,Marreta Quadrada 1 Kg 
4.09.000037030 ,Martelo Tipo Bola 500g 
4.09.000038210 ,Saca Pino 2mm x 150mm 
4.09.000038220 ,Saca Pino 3mm x 150mm 
4.09.000038230 ,Saca Pino 4mm x 150mm 
4.09.000038240 ,Saca Pino 5mm x 150mm 
4.09.000038250 ,Saca Pino 6mm x 150mm 
4.09.000038260 ,Saca Pino 8mm x 150mm 
4.09.000038104 ,Talhadeira 19mm 
4.09.0L516CME ,Trena - Fita de A‡o 5 Metros
