codigo,descricao
4.09.000026610,Alicate Bico Reto e Longo com Isolamento
"4.09.000029125,Alicate Bomba D' gua 10"""
4.09.000029487,Alicate de Corte Diagonal 6.1/4''
4.09.000029205,Alicate Para An‚is Externos - Pontas Fixas - Pontas Curvas 90ø 3 … 10mm
4.09.000029220,Alicate Para An‚is Externos - Pontas Fixas - Pontas Curvas 90ø 10 … 25mm
4.09.000029200,Alicate Para An‚is Externos - Pontas Fixas - Pontas Retas 3 … 10mm
4.09.000029210,Alicate Para An‚is Externos - Pontas Fixas - Pontas Retas 10 … 25mm
4.09.000029240,Alicate Para An‚is Internos - Pontas Fixas - Pontas Curvas 90ø 10 … 25mm
4.09.000029230,Alicate Para An‚is Internos - Pontas Fixas - Pontas Retas 10 … 25mm
4.09.000029010,Alicate PressÆo 10''
4.09.000029400,Alicate Universal 8''
4.09.000039001,Arco de Serra para Metais
4.09.000017110,Cabo de For‡a Encaixe 3/4''
4.09.000006925,Calibrador de Folgas - 20 Lƒminas
4.09.000000007,Carrinho de Ferramentas (se for mecƒnico fixo no contrato)
4.09.000001002,Caixa Ferramentas 4 Gavetas (se for mecƒnico volante)
4.09.000028006,Chave Ajust vel 18''
4.09.000028202,Chave Ajust vel 8''
4.09.000012061,Chave Allen Hexagonal 1/2''
4.09.000012057,Chave Allen Hexagonal 1/4''
4.09.000012053,Chave Allen Hexagonal 1/8''
4.09.000012055,Chave Allen Hexagonal 3/16''
4.09.000012054,Chave Allen Hexagonal 5/32''
4.09.000012056,Chave Allen Hexagonal 7/32''
4.09.000012058,Chave Allen Hexagonal 5/16''
4.09.000012059,Chave Allen Hexagonal 3/8''
4.09.000012060,Chave Allen Hexagonal 7/16''
4.09.000012062,Chave Allen Hexagonal 9/16''
4.09.000012004,Chave Allen Hexagonal 3mm
4.09.000012005,Chave Allen Hexagonal 4mm
4.09.000012006,Chave Allen Hexagonal 5mm
4.09.000012007,Chave Allen Hexagonal 6mm
4.09.000012009,Chave Allen Hexagonal 8mm
4.09.000012011,Chave Allen Hexagonal 10mm
4.09.000012013,Chave Allen Hexagonal 12mm
4.09.000012014,Chave Allen Hexagonal 14mm
4.09.000012012,Chave Allen Hexagonal 11mm
4.09.000012016,Chave Allen Hexagonal 17mm
4.09.000012017,Chave Allen Hexagonal 19mm
4.09.000012002,Chave Allen Hexagonal 2mm
4.09.000012052,Chave Allen Hexagonal 3/32''
4.09.000012065,Chave Allen Hexagonal 3/4''
4.09.000012008,Chave Allen Hexagonal 7mm
4.09.000012010,Chave Allen Hexagonal 9mm
4.09.000012209,Chave Allen Hexagonal Longa 8mm
4.09.000002501,Chave Combinada 6mm
4.09.000002502,Chave Combinada 7mm
4.09.000002503,Chave Combinada 8mm
4.09.000002504,Chave Combinada 9mm
4.09.000002505,Chave Combinada 10mm
4.09.000002506,Chave Combinada 11mm
4.09.000002507,Chave Combinada 12mm
4.09.000002508,Chave Combinada 13mm
4.09.000002509,Chave Combinada 14mm
4.09.000002510,Chave Combinada 15mm
4.09.000002511,Chave Combinada 16mm
4.09.000002512,Chave Combinada 17mm
4.09.000002513,Chave Combinada 18mm
4.09.000002514,Chave Combinada 19mm
4.09.000067915,Chave Combinada 20mm
4.09.000002516,Chave Combinada 21mm
4.09.000002517,Chave Combinada 22mm
4.09.000002518,Chave Combinada 23mm
4.09.000002519,Chave Combinada 24mm
4.09.000002520,Chave Combinada 25mm
4.09.000002521,Chave Combinada 26mm
4.09.000002522,Chave Combinada 27mm
4.09.000000496,Chave Combinada 28mm
4.09.000002539,Chave Combinada 29mm
4.09.000002524,Chave Combinada 30mm
4.09.000002525,Chave Combinada 32mm
4.09.000002551,Chave Combinada 1/4''
4.09.000002552,Chave Combinada 5/16''
4.09.000002553,Chave Combinada 3/8''
4.09.000002554,Chave Combinada 7/16''
4.09.000002555,Chave Combinada 1/2''
4.09.000002556,Chave Combinada 9/16''
4.09.000002557,Chave Combinada 5/8''
4.09.000002558,Chave Combinada 11/16''
4.09.000002559,Chave Combinada 3/4''
4.09.000002561,Chave Combinada 13/16''
4.09.000002562,Chave Combinada 7/8''
4.09.000002563,Chave Combinada 15/16''
4.09.000002564,Chave Combinada 1''
"4.09.000002565,Chave Combinada 1.1/16"""
4.09.000002566,Chave Combinada 1.1/8''
4.09.000002568,Chave Combinada 1.1/4''
4.09.000002572,Chave Combinada 1.1/2''
4.09.000002569,Chave Combinada 1.5/16''
4.09.000002560,Chave Combinada 25/32'' mm
4.09.000002526,Chave Combinada 36mm
4.09.000026280,Chave de Vela - 5/8 Longo
4.09.000026270,Chave de Vela 13/16'' Longo
4.09.000003553,Chave Estrela (Estria) 1/2 x 9/16''
4.09.000003502,Chave Estrela (Estria) 8 x 9 mm
4.09.000003504,Chave Estrela (Estria) 12 x 13 mm
4.09.000003505,Chave Estrela (Estria) 14 x 15 mm
4.09.000003506,Chave Estrela (Estria) 16 x 17 mm
4.09.000036320,Chave Fenda Cruzada Phillips 1/4 x 6''
4.09.000036290,Chave Fenda Cruzada Phillips 1/8 x 2.3/8''
4.09.000036324,Chave Fenda Cruzada Phillips 160 - 1/4 x 10''
4.09.000036308,Chave Fenda Cruzada Phillips 3/16 x 10''
4.09.000036310,Chave Fenda Cruzada Phillips 3/16 x 4''
4.09.000036330,Chave Fenda Cruzada Phillips 5/16 x 6''
"4.09.000036410,Chave Fenda Cruzada Phillips Tipo Toco 3/16 X 1.1/2"""
4.09.000036130,Chave Fenda Simples 1/4 x 10''
4.09.000036100,Chave Fenda Simples 1/4 x 5''
4.09.000036030,Chave Fenda Simples 1/8 x 5''
